# z (m), P_K (m^2/s^3), eps(m^2/s^3), G_K (m^2/s^3), D_K (m^2/s^3), P_Theta (K^2/s), eps_Theta (K^2/s), D_Theta (K^2/s)
1.000000000000000056e-01, 1.484543491112619851e-01, 1.491523823805232518e-01, -6.297802723128375670e-04, 2.840105750745069990e-02, 8.868597865100065133e-03, 9.835269455752497156e-03, 7.389168157479809353e-05
9.944479457320000160e-01, 4.589021988299930160e-02, 5.173730347299584920e-02, -6.070010705871420591e-04, 5.774453168506209646e-06, 2.694977710989097334e-03, 4.056645467660282244e-03, -2.253911203263279732e-04
1.893627228199999957e+00, 2.135849700351544894e-02, 2.577842671144484760e-02, -6.023909485405863108e-04, -8.934070500202964237e-04, 1.315930366668722606e-03, 1.767211983588052454e-03, 3.249935510721394693e-05
2.797562874640000086e+00, 1.704120435328327493e-02, 1.708661064563117560e-02, -5.977908148915550123e-04, 7.062614786858902082e-04, 9.788031687305946953e-04, 1.111532074775587560e-03, 8.647914558083513031e-05
3.706280044650000161e+00, 1.297604761010962525e-02, 1.279822813652864780e-02, -5.931767574094038049e-04, -2.207492692223637324e-05, 7.514463659795127693e-04, 8.204359284949036850e-04, 3.302815269731035184e-05
4.619804030920000137e+00, 1.067072718239932619e-02, 1.029234944367909965e-02, -5.885453338425334757e-04, 3.417280889358854896e-05, 6.211420121459882999e-04, 6.606178990737985451e-04, 2.293983938050300232e-05
5.538160259939999719e+00, 9.116204895468247443e-03, 8.651233295091452502e-03, -5.838962881235537508e-04, 1.652780447477522350e-05, 5.348535993792017176e-04, 5.599414800101274554e-04, 1.560795941541714949e-05
6.461374292690000409e+00, 8.003929929010692931e-03, 7.494741302777978981e-03, -5.792296388236563070e-04, 6.088360006168515504e-06, 4.738509678490930230e-04, 4.908442221867330337e-04, 1.111324687596292702e-05
7.389471825360000246e+00, 7.170556561545486998e-03, 6.636358880238507271e-03, -5.745454448547383146e-04, -2.204290537486927573e-06, 4.285873203667345190e-04, 4.405372566621387678e-04, 8.077748737638005384e-06
8.322478690060000517e+00, 6.523508928910585515e-03, 5.974125440299200146e-03, -5.698437526165697591e-04, -9.354771738437212534e-06, 3.937490042765567433e-04, 4.023044202887597707e-04, 5.887600522606574859e-06
9.260420855570000498e+00, 6.006664274890259961e-03, 5.447676409956489149e-03, -5.651246041374909752e-04, -1.567766652469517683e-05, 3.661535046494922545e-04, 3.722857434109842246e-04, 4.229213050236114460e-06
1.020332442800000017e+01, 5.584111946620302219e-03, 5.019023723893575352e-03, -5.603880452425717218e-04, -2.126604972152937656e-05, 3.437821558090477887e-04, 3.481060209576792132e-04, 2.929182566254540090e-06
1.115121565159999939e+01, 5.231855536262774303e-03, 4.663079970405142188e-03, -5.556341301989662458e-04, -2.614000920043232725e-05, 3.252946147531252563e-04, 3.282235275554960243e-04, 1.885013881621257598e-06
1.210412090930000062e+01, 4.933282786752714831e-03, 4.362617702979430800e-03, -5.508629237675907947e-04, -3.030399011220394988e-05, 3.097672128303877170e-04, 3.115937274481707484e-04, 1.032381810396607016e-06
1.306206672379999922e+01, 4.676551517528684983e-03, 4.105419178972337726e-03, -5.460745018572505435e-04, -3.376869640893510280e-05, 2.965435163299632378e-04, 2.974836364885677679e-04, 3.286353248734422054e-07
1.402507975800000040e+01, 4.453009282180455178e-03, 3.882581728677342390e-03, -5.412689514432212148e-04, -3.655763145457057367e-05, 2.851447560029189915e-04, 2.853636030100577519e-04, -2.559572606013122730e-07
1.499318681579999968e+01, 4.256199569110394668e-03, 3.687467001459182429e-03, -5.364463701679424070e-04, -3.870693157109309803e-05, 2.752139177908090187e-04, 2.748412930447922693e-04, -7.430636402189500298e-07
1.596641484290000079e+01, 4.081215532479424285e-03, 3.515025795779839340e-03, -5.316068658305552613e-04, -4.026256718865172632e-05, 2.664796201875672304e-04, 2.656198474325762392e-04, -1.149087983896882600e-06
1.694479092759999972e+01, 3.924267487013169756e-03, 3.361350713158482717e-03, -5.267505558868347017e-04, -4.127687337771233076e-05, 2.587320747432929509e-04, 2.574704755318787258e-04, -1.486846884391047506e-06
1.792834230149999897e+01, 3.782386227400857254e-03, 3.223371753088257602e-03, -5.218775669781720037e-04, -4.180531709321867707e-05, 2.518066728760225137e-04, 2.502139874270239875e-04, -1.766609752578719977e-06
1.891709634000000051e+01, 3.653215112492970255e-03, 3.098644272607957266e-03, -5.169880345726105258e-04, -4.190385748663467811e-05, 2.455725261051785189e-04, 2.437080364345012274e-04, -1.996768952197214803e-06
1.991108056359999878e+01, 3.534861601171507359e-03, 2.985198197188014720e-03, -5.120821026411224563e-04, -4.162697954305339754e-05, 2.399243054076924918e-04, 2.378381111753767477e-04, -2.184288239784049904e-06
2.091032263820000026e+01, 3.425789468548584744e-03, 2.881428795350462688e-03, -5.071599234416732539e-04, -4.102634604544185026e-05, 2.347763271471670120e-04, 2.325110502712585342e-04, -2.335014199396722314e-06
2.191485037620000043e+01, 3.324739386691179677e-03, 2.786016242980184684e-03, -5.022216573651232339e-04, -4.014996059528140343e-05, 2.300581990926910082e-04, 2.276502913352142579e-04, -2.453900301157937396e-06
2.292469173710000163e+01, 3.230669615213414749e-03, 2.697865500950260252e-03, -4.972674728500268418e-04, -3.904172754710105036e-05, 2.257115690311589922e-04, 2.231923356547232408e-04, -2.545173638697664703e-06
2.393987482800000066e+01, 3.142711164099067523e-03, 2.616060766417839696e-03, -4.922975463567297620e-04, -3.774129929399375313e-05, 2.216876650663480021e-04, 2.190840800735134987e-04, -2.612462181057137354e-06
2.496042790510000131e+01, 3.060133511875319946e-03, 2.539830539583945099e-03, -4.873120623668220465e-04, -3.628412603734755109e-05, 2.179454125404669987e-04, 2.152807773761834841e-04, -2.658894640029802541e-06
2.598637937370000017e+01, 2.982318121741917624e-03, 2.468520530226632221e-03, -4.823112134530557651e-04, -3.470163717752917579e-05, 2.144499766677749946e-04, 2.117444587918229843e-04, -2.687180071499402259e-06
2.701775778969999919e+01, 2.908737778199637324e-03, 2.401572427712460323e-03, -4.772952003616857150e-04, -3.302150074225307656e-05, 2.111716230180722600e-04, 2.084427007900032378e-04, -2.699672348824300092e-06
2.805459185979999859e+01, 2.838940314818730413e-03, 2.338507107723667745e-03, -4.722642321353590208e-04, -3.126792543410854709e-05, 2.080848180408080073e-04, 2.053476515131467473e-04, -2.698423151719015445e-06
2.909691044250000047e+01, 2.772535698207992741e-03, 2.278911232129845078e-03, -4.672185262546615231e-04, -2.946197842846617500e-05, 2.051675131389725255e-04, 2.024352551872397703e-04, -2.685225642736757501e-06
