# z (m), U (m/s), V (m/s), M (m/s), Theta (K), Ri (1)
1.000000000000000056e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.628437593561285439e+02, 1.572221053532699923e-03
9.944479457320000160e-01, 1.350202957546047244e+00, 9.126250193407324796e-01, 1.629709430564882489e+00, 2.630397117283549733e+02, 5.301348195036409763e-03
1.893627228199999957e+00, 1.811778812148057360e+00, 1.218591294588077467e+00, 2.183470722319205137e+00, 2.631083649999397380e+02, 1.215361965794444984e-02
2.797562874640000086e+00, 2.074695076406022576e+00, 1.389748413205182498e+00, 2.497160314723870123e+00, 2.631471673746079887e+02, 1.411806169648449974e-02
3.706280044650000161e+00, 2.281779258670489696e+00, 1.522540506858802711e+00, 2.743119849031285362e+00, 2.631762998010382262e+02, 1.861138522884194998e-02
4.619804030920000137e+00, 2.445634875684097764e+00, 1.626042827659052614e+00, 2.936871676249894758e+00, 2.631992421375909998e+02, 2.277421301954652560e-02
5.538160259939999719e+00, 2.583076344963687543e+00, 1.711601792949282386e+00, 3.098700210559547585e+00, 2.632184123080439804e+02, 2.688239720212277223e-02
6.461374292690000409e+00, 2.702311465667650126e+00, 1.784770194076224836e+00, 3.238514951718937329e+00, 2.632350163853837444e+02, 3.091245832591324461e-02
7.389471825360000246e+00, 2.808287127196849919e+00, 1.848887048144089995e+00, 3.362284190157452279e+00, 2.632497679516772564e+02, 3.485540156067777617e-02
8.322478690060000517e+00, 2.904203460554864780e+00, 1.906107854743305019e+00, 3.473866367855024784e+00, 2.632631233676367515e+02, 3.870767948365935046e-02
9.260420855570000498e+00, 2.992246701807740106e+00, 1.957902125082042533e+00, 3.575895840301690054e+00, 2.632753919817202473e+02, 4.246839909416574854e-02
1.020332442800000017e+01, 3.073975622840292576e+00, 2.005315329855322570e+00, 3.670249706244757881e+00, 2.632867931240987218e+02, 4.613807130912375015e-02
1.115121565159999939e+01, 3.150540373723309973e+00, 2.049117064615327610e+00, 3.758312079338287592e+00, 2.632974879558249768e+02, 4.971799230447497553e-02
1.210412090930000062e+01, 3.222813761066327665e+00, 2.089889839205602673e+00, 3.841132566629997580e+00, 2.633075983904737427e+02, 5.320992212828637435e-02
1.306206672379999922e+01, 3.291473799911144749e+00, 2.128084861615767487e+00, 3.919525896596775194e+00, 2.633172189062982511e+02, 5.661591156748855408e-02
1.402507975800000040e+01, 3.357057703804263049e+00, 2.164058492900305275e+00, 3.994137061132862598e+00, 2.633264242279880136e+02, 5.993820501306117848e-02
1.499318681579999968e+01, 3.419998387421187225e+00, 2.198096877173549846e+00, 4.065485348307272595e+00, 2.633352744969520245e+02, 6.317918260039274980e-02
1.596641484290000079e+01, 3.480649858495262983e+00, 2.230433063908880076e+00, 4.133994966338707222e+00, 2.633438188546305128e+02, 6.634132248172178170e-02
1.694479092759999972e+01, 3.539305322179060020e+00, 2.261259208924425224e+00, 4.200016874408184719e+00, 2.633520979894877314e+02, 6.942717320960396787e-02
1.792834230149999897e+01, 3.596210371288730112e+00, 2.290735458610272612e+00, 4.263844685123062916e+00, 2.633601459877220350e+02, 7.243933109913602841e-02
1.891709634000000051e+01, 3.651572781382512733e+00, 2.318996543635369889e+00, 4.325726471683292829e+00, 2.633679917043522778e+02, 7.538042009181242231e-02
1.991108056359999878e+01, 3.705569909082597313e+00, 2.346156756311589930e+00, 4.385873684407554762e+00, 2.633756597965902415e+02, 7.825307308293226460e-02
2.091032263820000026e+01, 3.758354365629852367e+00, 2.372313765161087495e+00, 4.444467987304334677e+00, 2.633831715147190380e+02, 8.105991442000032299e-02
2.191485037620000043e+01, 3.810058427656302538e+00, 2.397551578365844982e+00, 4.501666571951637330e+00, 2.633905453157810257e+02, 8.380354363144001950e-02
2.292469173710000163e+01, 3.860797508865864813e+00, 2.421942874407054802e+00, 4.557606339093039693e+00, 2.633977973457400026e+02, 8.648652059217226684e-02
2.393987482800000066e+01, 3.910672923374187704e+00, 2.445550855479264651e+00, 4.612407226238530278e+00, 2.634049418225992554e+02, 8.911135232437097931e-02
2.496042790510000131e+01, 3.959774107786967257e+00, 2.468430736313672824e+00, 4.666174882758756581e+00, 2.634119913439717493e+02, 9.168048162329969775e-02
