# z (m), beta1, beta2, beta3, beta4, beta_theta1, beta_theta2, beta_theta3, beta_theta4, beta_g1, beta_g2, lambda_theta1, lambda_theta2, lambda_theta3, lambda_theta4, lambda_g1, lambda_g2, lambda_g3, lambda_g4
1.000000000000000056e-01, -1.743633483898512360e-01, 0.000000000000000000e+00, 8.644576468389285643e-04, -4.305267861477807267e-02, 3.926897300589805156e-02, -3.146098576456340078e-03, 1.924000292606850224e-02, -1.010865593848900117e-02, 1.350492227689542579e-01, 3.308397476834219753e-02, -1.841941427333612380e-01, 4.835316913250378018e-02, -4.211515632263949731e-04, 2.369084403279847484e-02, -3.167293903789572540e-01, 0.000000000000000000e+00, -7.241880049015248910e-04, 0.000000000000000000e+00
9.944479457320000160e-01, -1.885581439623517652e-01, 0.000000000000000000e+00, 2.998290375979085348e-03, -5.010207994768604844e-02, 4.304995441197097261e-02, -3.967147816208142601e-03, 2.233586090088514678e-02, -1.280604440529317482e-02, 1.438432366242690108e-01, 3.731551799113719953e-02, -1.855191332211514887e-01, 5.305894368237157321e-02, -1.394428535418657401e-03, 2.752888344105377388e-02, -3.099384405647864771e-01, 0.000000000000000000e+00, -2.329600445072190287e-03, 0.000000000000000000e+00
1.893627228199999957e+00, -1.899255729605647536e-01, 0.000000000000000000e+00, 6.244826524212652649e-03, -5.196471172209845418e-02, 4.336500329822302879e-02, -3.809396031958257271e-03, 2.255998872423402302e-02, -1.323594590289715184e-02, 1.455347403031567455e-01, 3.785616169040967316e-02, -1.834511141311592763e-01, 5.356837645790070435e-02, -2.923523245829684654e-03, 2.786813618643255164e-02, -3.078343996886102607e-01, 0.000000000000000000e+00, -4.905675748686377617e-03, 0.000000000000000000e+00
2.797562874640000086e+00, -1.587390385612567345e-01, 0.000000000000000000e+00, 6.396886239920452494e-03, -3.982224571656137191e-02, 3.540568495367790031e-02, -1.430593585460794830e-03, 1.648272611982867439e-02, -8.225267244675427136e-03, 1.141182773757672408e-01, 2.656328873217959907e-02, -1.767690075986067533e-01, 4.395425595256677309e-02, -3.492720266719517505e-03, 2.046241367753980078e-02, -2.848772040513690151e-01, 0.000000000000000000e+00, -5.628713581344267462e-03, 0.000000000000000000e+00
3.706280044650000161e+00, -1.523105841174115238e-01, 0.000000000000000000e+00, 7.939821156572532401e-03, -3.824268500606470278e-02, 3.383350008267782538e-02, -9.190860355999121807e-04, 1.533140610300100064e-02, -7.484123588379919950e-03, 1.069047558090277517e-01, 2.422161618112065110e-02, -1.734649414055094985e-01, 4.220346426647880733e-02, -4.516951306238882295e-03, 1.912418473230497601e-02, -2.740506264953790350e-01, 0.000000000000000000e+00, -7.136027217687074611e-03, 0.000000000000000000e+00
4.619804030920000137e+00, -1.442842109337384993e-01, 0.000000000000000000e+00, 8.908335724898637509e-03, -3.594447269518948052e-02, 3.189405618093885120e-02, -4.148606697670282652e-04, 1.395069449555927550e-02, -6.581276494408875438e-03, 9.844572467022461026e-02, 2.153052247238742417e-02, -1.699155205078952402e-01, 3.999963538115789558e-02, -5.325704444901244866e-03, 1.749611813043019937e-02, -2.622337775357918010e-01, 0.000000000000000000e+00, -8.219080890567252023e-03, 0.000000000000000000e+00
5.538160259939999719e+00, -1.375861509545985017e-01, 0.000000000000000000e+00, 9.698169201067866757e-03, -3.412309831612445055e-02, 3.031146098076627216e-02, -4.306471878284546520e-05, 1.284028998427412527e-02, -5.895622599882079443e-03, 9.150231348816056931e-02, 1.938082777245420107e-02, -1.665748559709434862e-01, 3.823102216336660142e-02, -6.051429433551109606e-03, 1.619508615452897385e-02, -2.514216411207137458e-01, 0.000000000000000000e+00, -9.133574757022989640e-03, 0.000000000000000000e+00
6.461374292690000409e+00, -1.316288963504207432e-01, 0.000000000000000000e+00, 1.030762784379885000e-02, -3.253436166026622139e-02, 2.893029285289930308e-02, 2.440218980209892495e-04, 1.188420259024567521e-02, -5.329230193145547204e-03, 8.549536830460761905e-02, 1.756033354833557575e-02, -1.633832889661262500e-01, 3.670130037957837488e-02, -6.686501514693975017e-03, 1.507640624900507577e-02, -2.414154074527334881e-01, 0.000000000000000000e+00, -9.879732906634507497e-03, 0.000000000000000000e+00
7.389471825360000246e+00, -1.262826911481997605e-01, 0.000000000000000000e+00, 1.077283404781874919e-02, -3.112731381346220058e-02, 2.771189321106482320e-02, 4.667108646475632465e-04, 1.105121727667397399e-02, -4.853360358683552617e-03, 8.025695446160642510e-02, 1.600295600679147584e-02, -1.603394374429172597e-01, 3.536067295908129626e-02, -7.240563388413169890e-03, 1.410143690743697470e-02, -2.321796195146337560e-01, 0.000000000000000000e+00, -1.048442327272202518e-02, 0.000000000000000000e+00
8.322478690060000517e+00, -1.214679208072152461e-01, 0.000000000000000000e+00, 1.112576925136302651e-02, -2.987377366015619984e-02, 2.663168922463140034e-02, 6.395431558770602954e-04, 1.032130115158632483e-02, -4.449821239686207151e-03, 7.566754522481133893e-02, 1.466289155847877446e-02, -1.574430492164795026e-01, 3.417817099786579771e-02, -7.724172621424405492e-03, 1.324595409263372436e-02, -2.236667556248432553e-01, 0.000000000000000000e+00, -1.097281544033172629e-02, 0.000000000000000000e+00
