# z (m), K (m^2/s^2), Kth (K^2), uw (m^2/s^2), vw (m^2/s^2), uv (m^2/s^2), uu (m^2/s^2), vv (m^2/s^2), ww (m^2/s^2), ut (mK/s), vt (mK/s), wt (mK/s)
1.000000000000000056e-01, 2.051868188261569970e-01, 7.442457134352742885e-03, -4.775548989095827757e-02, -3.681834938744960040e-02, 2.438368781437644933e-02, 1.686268377488465142e-01, 1.557990545907695090e-01, 8.594774538414391707e-02, 9.511168863624269720e-03, 7.332875146050417403e-03, -1.701241309146262620e-02
9.944479457320000160e-01, 2.096148773114739905e-01, 9.040578110480729235e-03, -4.845881242408482670e-02, -3.652500225527137434e-02, 2.369151110443280112e-02, 1.718112201776897385e-01, 1.582360492555492659e-01, 8.918248526048884461e-02, 9.117857332201167661e-03, 6.872399691801677098e-03, -1.639707277879585284e-02
1.893627228199999957e+00, 2.111539651598447476e-01, 7.962343653321133502e-03, -4.831376677753217164e-02, -3.569382102812020119e-02, 2.311664589850987231e-02, 1.733892970290489832e-01, 1.591778680594549966e-01, 8.974076530294873566e-02, 9.131654915897683550e-03, 6.746343268407777038e-03, -1.627253839101477570e-02
2.797562874640000086e+00, 2.081643190489527728e-01, 7.448716459950170156e-03, -4.814544002734457567e-02, -3.489159280788227402e-02, 2.484757888679119814e-02, 1.748510785350597396e-01, 1.585722433329065095e-01, 8.290531630837696953e-02, 9.922372658166457582e-03, 7.190790292345302336e-03, -1.614827382263584951e-02
3.706280044650000161e+00, 2.082688594197742715e-01, 7.343905336816764981e-03, -4.795647563192514951e-02, -3.411117896600497634e-02, 2.504799126635812515e-02, 1.764244321592897680e-01, 1.590261898114539996e-01, 8.108709695009332086e-02, 1.020658474757322499e-02, 7.259787351625227383e-03, -1.602363312603962558e-02
4.619804030920000137e+00, 2.082902009769274920e-01, 7.353789686436357741e-03, -4.775110240103872666e-02, -3.334683096305227773e-02, 2.528975984941289959e-02, 1.779713879997457671e-01, 1.594185255805694867e-01, 7.919048845767934219e-02, 1.051183799229167548e-02, 7.340779971817854889e-03, -1.589852331508582323e-02
5.538160259939999719e+00, 2.083932241522654938e-01, 7.419135262496382582e-03, -4.753190179669994353e-02, -3.259552238598449614e-02, 2.546273198019994785e-02, 1.794690447787555265e-01, 1.597995813749427674e-01, 7.751782223758912904e-02, 1.080033695779434970e-02, 7.406290183589292475e-03, -1.577293747244157274e-02
6.461374292690000409e+00, 2.085213493139382590e-01, 7.511748779428910686e-03, -4.730063716260702461e-02, -3.185527732567434989e-02, 2.559374000750870223e-02, 1.809154663864472601e-01, 1.601485499224420128e-01, 7.597868240818914098e-02, 1.108046851559009970e-02, 7.462104880369127211e-03, -1.564687609987025149e-02
7.389471825360000246e+00, 2.086503202399825063e-01, 7.618573221003737024e-03, -4.705856746788687761e-02, -3.112472275834947746e-02, 2.569174985126495073e-02, 1.823071288625489894e-01, 1.604551670809637454e-01, 7.453834462795054516e-02, 1.135475697686580063e-02, 7.509854063667660388e-03, -1.552034078872070039e-02
8.322478690060000517e+00, 2.087657154729714859e-01, 7.732851900605615045e-03, -4.680662475394652827e-02, -3.040285973678797521e-02, 2.576036690785820163e-02, 1.836398511479387652e-01, 1.607125931045029765e-01, 7.317898678715280270e-02, 1.162399533123405042e-02, 7.550006422519132260e-03, -1.539333279246842510e-02
9.260420855570000498e+00, 2.088575056076797387e-01, 7.850790753227060437e-03, -4.654552180092724756e-02, -2.968893886818167738e-02, 2.580099456090944807e-02, 1.849092984690212660e-01, 1.609157962515472551e-01, 7.188991659045493310e-02, 1.188826865620242618e-02, 7.582596821666223383e-03, -1.526585324625884948e-02
1.020332442800000017e+01, 2.089180265524555047e-01, 7.970113714310979314e-03, -4.627581869102374845e-02, -2.898238574725515299e-02, 2.581409507101887352e-02, 1.861113166335384705e-01, 1.610609600743734826e-01, 7.066377649453624288e-02, 1.214735914078455062e-02, 7.607503353316219866e-03, -1.513790338827577381e-02
1.115121565159999939e+01, 2.089411093235657435e-01, 8.089377593190241744e-03, -4.599796567306770056e-02, -2.828275341249619768e-02, 2.579976337624142677e-02, 1.872421369763649923e-01, 1.611452113713242595e-01, 6.949487039871522776e-02, 1.240093051663740051e-02, 7.624566418016232895e-03, -1.500948468417595029e-02
1.210412090930000062e+01, 2.089216655281312396e-01, 8.207622970706032403e-03, -4.571233181559018061e-02, -2.758969055179597701e-02, 2.575800196450567583e-02, 1.882984869552944973e-01, 1.611664628783075204e-01, 6.837838132353274423e-02, 1.264861750820224853e-02, 7.633641549480360555e-03, -1.488059888348340111e-02
1.306206672379999922e+01, 2.088554662114717464e-01, 8.324185575037924834e-03, -4.541922479494610310e-02, -2.690291942876124956e-02, 2.568885127849225222e-02, 1.892776339386959827e-01, 1.611232997588329940e-01, 6.730999882775184906e-02, 1.289006954322974990e-02, 7.634621514604142574e-03, -1.475124803671902518e-02
1.402507975800000040e+01, 2.087390064687295044e-01, 8.438589200091054648e-03, -4.511890495355767861e-02, -2.622222009022530040e-02, 2.559244574920227500e-02, 1.901773835748719887e-01, 1.610148847844115050e-01, 6.628574468184536550e-02, 1.312497075279255021e-02, 7.627443330384682529e-03, -1.462143449334869956e-02
1.499318681579999968e+01, 2.085694095088937439e-01, 8.550482242203463756e-03, -4.481159553619267627e-02, -2.554741878455830256e-02, 2.546903064935929911e-02, 1.909960492510655028e-01, 1.608408739155792466e-01, 6.530189595601720853e-02, 1.335304720915029934e-02, 7.612087791869032172e-03, -1.449116089102524957e-02
1.596641484290000079e+01, 2.083443499226337592e-01, 8.659598608294887673e-03, -4.449749030620955143e-02, -2.487837929073487622e-02, 2.531895876797519984e-02, 1.917324050425974757e-01, 1.606013400743940001e-01, 6.435495483422840057e-02, 1.357406730614435161e-02, 7.588575468218475457e-03, -1.436043014183394952e-02
1.694479092759999972e+01, 2.080619874290482452e-01, 8.765732768185229007e-03, -4.417675932149166956e-02, -2.421499631073105105e-02, 2.514267757338317644e-02, 1.923856310508914869e-01, 1.602967048042319986e-01, 6.344163910988194488e-02, 1.378783863379847568e-02, 7.556961304608357695e-03, -1.422924541845265074e-02
1.792834230149999897e+01, 2.077209075157255280e-01, 8.868723300139949584e-03, -4.384955339008082126e-02, -2.355719035617572649e-02, 2.494071290142252373e-02, 1.929552571921527293e-01, 1.599276778563532564e-01, 6.255888009069435207e-02, 1.399420329499804876e-02, 7.517328986882242797e-03, -1.409761014212877403e-02
1.891709634000000051e+01, 2.073200676117312458e-01, 8.968441699342313833e-03, -4.351600756224677236e-02, -2.290490373794855025e-02, 2.471365245883205136e-02, 1.934411092343474858e-01, 1.594952045595274814e-01, 6.170382153806204528e-02, 1.419303277325262465e-02, 7.469785660205655389e-03, -1.396552797208587549e-02
1.991108056359999878e+01, 2.068587483206140165e-01, 9.064784546061892961e-03, -4.317624390542517537e-02, -2.225809738121110187e-02, 2.446213081098597836e-02, 1.938432592537785160e-01, 1.590004205766502587e-01, 6.087381691989005028e-02, 1.438422296129440031e-02, 7.414457270877364975e-03, -1.383300279748780025e-02
2.091032263820000026e+01, 2.063365095230437485e-01, 9.157667880214728773e-03, -4.283037374033862171e-02, -2.161674826957254991e-02, 2.418681656587829895e-02, 1.941619815409672545e-01, 1.584446134487852431e-01, 6.006642416593694495e-02, 1.456768965389652545e-02, 7.351484615864719609e-03, -1.370003873133572581e-02
2.191485037620000043e+01, 2.057531511913169853e-01, 9.247023064896154471e-03, -4.247849946408732702e-02, -2.098084737191250465e-02, 2.388840191329052315e-02, 1.943977142340887476e-01, 1.578291902143117431e-01, 5.927939804424620096e-02, 1.474336462518592399e-02, 7.281020083346825128e-03, -1.356664010636430065e-02
2.292469173710000163e+01, 2.051086787057202765e-01, 9.332793681223588642e-03, -4.212071605522779705e-02, -2.035039794608894947e-02, 2.356759439527985125e-02, 1.945510265097215030e-01, 1.571556503567547447e-01, 5.851068065528985257e-02, 1.491119230885847545e-02, 7.203225019844584909e-03, -1.343281147268004898e-02
2.393987482800000066e+01, 2.044032723938022378e-01, 9.414933154894829931e-03, -4.175711232955649915e-02, -1.972541413844244862e-02, 2.322511064600827485e-02, 1.946225909042529900e-01, 1.564255633517517563e-01, 5.775839064214657870e-02, 1.507112704402417507e-02, 7.118267639537102266e-03, -1.329855759682187395e-02
2.496042790510000131e+01, 2.036372609649952647e-01, 9.493402914011926652e-03, -4.138777199818169383e-02, -1.910591981719055032e-02, 2.286167179328900054e-02, 1.946131602231375157e-01, 1.556405501376987299e-01, 5.702081167983187593e-02, 1.522313082425304914e-02, 7.026321388749730626e-03, -1.316388346246942509e-02
2.598637937370000017e+01, 2.028110984812249995e-01, 9.568170940357277263e-03, -4.101277457013782768e-02, -1.849194759505935065e-02, 2.247800023361510094e-02, 1.945235484817132432e-01, 1.548022679011699931e-01, 5.629638069029097719e-02, 1.536717148465497479e-02, 6.927563687511250484e-03, -1.302879427155952466e-02
2.701775778969999919e+01, 2.019253444958364896e-01, 9.639210617555720589e-03, -4.063219612734677438e-02, -1.788353800209467603e-02, 2.207481749233722659e-02, 1.943546152961275197e-01, 1.539123976398589777e-01, 5.558367616637650138e-02, 1.550322125300387585e-02, 6.822174974119275120e-03, -1.289329544678227517e-02
2.805459185979999859e+01, 2.009806470044069870e-01, 9.706499806909994060e-03, -4.024610999739792333e-02, -1.728073878221660087e-02, 2.165284292504957714e-02, 1.941072531897464759e-01, 1.529726340420770048e-01, 5.488140688756882463e-02, 1.563125559733139977e-02, 6.710337990691589774e-03, -1.275739263539737468e-02
2.909691044250000047e+01, 1.999777278687240034e-01, 9.770020100257396922e-03, -3.985458734362355704e-02, -1.668360429044215068e-02, 2.121279310749257796e-02, 1.937823774395122378e-01, 1.519846772920940003e-01, 5.418840111623357547e-02, 1.575125233540679986e-02, 6.592237268371722338e-03, -1.262109171180032449e-02
3.014474254929999830e+01, 1.989173704013534882e-01, 9.829756212481572525e-03, -3.945769768418667250e-02, -1.609219497183407566e-02, 2.075538171549634603e-02, 1.933809179932777234e-01, 1.509502264649434933e-01, 5.350359645462147290e-02, 1.586319094518164746e-02, 6.468058764567102825e-03, -1.248439878331137481e-02
3.119811734479999998e+01, 1.978004088257597770e-01, 9.885695484937655902e-03, -3.905550935708802796e-02, -1.550657691055850121e-02, 2.028131977980612149e-02, 1.929038131312734994e-01, 1.498709742270117329e-01, 5.282603040304652275e-02, 1.596705203935535125e-02, 6.337989620394986721e-03, -1.234732019381512558e-02
3.225706414799999777e+01, 1.966277193584519967e-01, 9.937827478032467549e-03, -3.864808993519645158e-02, -1.492682143420287488e-02, 1.979131621442032501e-02, 1.923520045866892458e-01, 1.487486026107854853e-01, 5.215483162885380108e-02, 1.606281697699402447e-02, 6.202218013530764844e-03, -1.220986252980707336e-02
3.332161243310000032e+01, 1.954002126902195102e-01, 9.986143636155929426e-03, -3.823550660365772347e-02, -1.435300476657440025e-02, 1.928607853933212574e-02, 1.917264338756812514e-01, 1.475847796656349908e-01, 5.148921194809957802e-02, 1.615046758356152370e-02, 6.060933084486095322e-03, -1.207203262545752595e-02
3.439179183000000251e+01, 1.941188276692392412e-01, 1.003063701148057020e-02, -3.781782650345114766e-02, -1.378520772009217583e-02, 1.876631373638862690e-02, 1.910280396333134956e-01, 1.463811568226462412e-01, 5.082845899099007470e-02, 1.622998596061382692e-02, 5.914324920473364514e-03, -1.193383756877780012e-02
3.546763212540000154e+01, 1.927845260150652662e-01, 1.007130203617242169e-02, -3.739511704721690255e-02, -1.322351542141927613e-02, 1.823272918970039735e-02, 1.902577557821850118e-01, 1.451393668370212497e-01, 5.017192951883567287e-02, 1.630135436738035237e-02, 5.762584583098168123e-03, -1.179528470775422638e-02
3.654916326370000235e+01, 1.913982879158722394e-01, 1.010813433464543935e-02, -3.696744621202837505e-02, -1.266801706548905011e-02, 1.768603367490255429e-02, 1.894165103921577609e-01, 1.438610221961542368e-01, 4.951904335073237240e-02, 1.636455516123492410e-02, 5.605904169770722749e-03, -1.165638165669440063e-02
3.763641534770000163e+01, 1.899611083810854861e-01, 1.014113056902198572e-02, -3.653488281238744667e-02, -1.211880569334495075e-02, 1.712693836945222703e-02, 1.885052251134467505e-01, 1.425477139004707738e-01, 4.886927785489286746e-02, 1.641957078658044800e-02, 5.444476900704427885e-03, -1.151713630307267533e-02
3.872941863909999682e+01, 1.884739942386462475e-01, 1.017028831224055067e-02, -3.609749675648757372e-02, -1.157597799008092468e-02, 1.655615786254227562e-02, 1.875248150840167494e-01, 1.412010105391352521e-01, 4.822216296007385272e-02, 1.646638380314330297e-02, 5.278497224843882278e-03, -1.137755681446105116e-02
3.982820355999999862e+01, 1.869379616830710300e-01, 1.019560594449402460e-02, -3.565535928892045459e-02, -1.103963409946684925e-02, 1.597441114833747511e-02, 1.864761892317262637e-01, 1.398224575965364980e-01, 4.757727664306360404e-02, 1.650497694707977331e-02, 5.108160939480212853e-03, -1.123765164556549991e-02
4.093280069330000259e+01, 1.853540342936727536e-01, 1.021708256930150063e-02, -3.520854322094445210e-02, -1.050987745300177231e-02, 1.538242259134644900e-02, 1.853602509050252534e-01, 1.384135769381667491e-01, 4.693424084854872641e-02, 1.653533321984650140e-02, 4.933665319952162259e-03, -1.109742954597774979e-02
4.204324078369999995e+01, 1.837232414530247382e-01, 1.023471794611722357e-02, -3.475712315214923159e-02, -9.986814611058495578e-03, 1.478092285390575009e-02, 1.841778987755707531e-01, 1.369758664296865103e-01, 4.629271780436007566e-02, 1.655743599930870058e-02, 4.755209255550547562e-03, -1.095689956727734921e-02
4.315955473870000247e+01, 1.820466171073967521e-01, 1.024851243719057496e-02, -3.430117568249057419e-02, -9.470555113512531265e-03, 1.417064977946242560e-02, 1.829300279712854915e-01, 1.355107996557420036e-01, 4.565240669046929933e-02, 1.657126917164362251e-02, 4.572993389765370176e-03, -1.081607107148747568e-02
4.428177362880000345e+01, 1.803251988174497666e-01, 1.025846696640609831e-02, -3.384077961878954877e-02, -8.961211339198714432e-03, 1.355234922637847499e-02, 1.816175313987025142e-01, 1.340198257057889919e-01, 4.501304063221604757e-02, 1.657681727918155351e-02, 4.387220262305512215e-03, -1.067495373873584945e-02
4.540992868949999917e+01, 1.785600270569167591e-01, 1.026458298866187585e-02, -3.337601617483012401e-02, -8.458898371143915365e-03, 1.292677584724612541e-02, 1.802413012281864901e-01, 1.325043690038190114e-01, 4.437438398270952822e-02, 1.657406568389024892e-02, 4.198094451346307855e-03, -1.053355757581144955e-02
4.654405132099999776e+01, 1.767521447224852660e-01, 1.026686246826872401e-02, -3.290696916777777203e-02, -7.963733868079837797e-03, 1.229469381214394995e-02, 1.788022305146112489e-01, 1.309658291612675052e-01, 4.373622986901795628e-02, 1.656300074349997473e-02, 4.005822714971937586e-03, -1.039189292441559942e-02
4.768417308979999802e+01, 1.749025968223279770e-01, 1.026530786511084883e-02, -3.243372521029239813e-02, -7.475837939155157222e-03, 1.165687747148597478e-02, 1.773012149356997802e-01, 1.294055808353564985e-01, 4.309839797254557542e-02, 1.654361000046499983e-02, 3.810614130403372490e-03, -1.024997047027289936e-02
4.883032572949999661e+01, 1.730124303179029766e-01, 1.025992212788357470e-02, -3.195637390021867363e-02, -6.995333021964512087e-03, 1.101411195652074980e-02, 1.757391546285569928e-01, 1.278249735801507414e-01, 4.246073252503812512e-02, 1.651588238089477662e-02, 3.612680230073579603e-03, -1.010780125168061691e-02
